price_change_pct,simulated_revenue
-20.0,17.7357932074056
-19.0,19.08496936558999
-18.000000000000004,20.518311687685248
-17.0,22.039947464123333
-16.0,23.654152651676586
-15.000000000000002,25.36535534038063
-14.000000000000002,27.178139258335072
-13.0,29.097247314337707
-12.000000000000002,31.127585178308237
-11.000000000000002,33.27422489945813
-10.0,35.54240856216396
-9.000000000000002,37.937551979501784
-8.000000000000002,40.46524842440093
-7.000000000000001,43.13127239837616
-6.0,45.941583437796886
-5.000000000000002,48.90232995765398
-4.000000000000001,52.01985313278392
-3.0,55.30069081651103
-2.0000000000000018,58.751581496669225
-1.0000000000000009,62.379468288964574
0.0,66.19150296764094
0.9999999999999981,70.19505003341112
1.9999999999999991,74.39769081861631
3.0,78.80722762957734
3.9999999999999982,83.43168792610112
4.999999999999999,88.2793285381069
6.0,93.35863991933616
7.000000000000001,98.67835043811155
8.000000000000002,104.24743070510979
8.999999999999996,110.07509793811424
9.999999999999998,116.17082036371356
10.999999999999998,122.54432165591052
12.0,129.20558541161253
13.0,136.16485966296347
14.000000000000002,143.43266142649307
15.000000000000002,151.01978128904156
15.999999999999998,158.93728803043797
17.0,167.19653328289013
18.0,175.80915622706343
19.0,184.7870883248114
20.0,194.1425580885309
